"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.1",218.107437381505,6.56187083463895,0.170654279009784,38.4512528646455,0,0
"FAM41C",11.3957939773623,2.20658657790634,0.168120709960458,13.125013440791,2.36740751595789e-39,4.52084020651129e-39
"NOC2L",21.357230163682,2.98771713422912,0.20023458105373,14.9210846523429,2.40334658809674e-50,5.21833987321861e-50
"ISG15",9.71470346271513,1.91381878951203,0.183927797970009,10.4052721265335,2.34584878894797e-25,3.80232582472654e-25
"AGRN",13.9727037705591,2.43016527724201,0.206345174531158,11.7771849172807,5.11737192315442e-32,8.99396883866346e-32
"C1orf159",18.5681871114748,2.95155984886012,0.211787079639749,13.9364490689457,3.8040060695202e-44,7.69696996471961e-44
"B3GALT6",37.2683767802813,3.83778742983102,0.219867804556284,17.4549768101613,3.15505765494362e-68,8.60125995353721e-68
"UBE2J2",2.95049129512907,-0.293581666010741,0.146627668846778,-2.00222555756189,0.0452604781398303,0.0490486811809572
"ACAP3",9.3133894620614,1.74970294303376,0.207585922849425,8.42881308624637,3.49188819478569e-17,5.06567732528989e-17
"PUSL1",27.7614108222339,3.47144551988908,0.203470512099442,17.0611725702665,2.88701547910096e-65,7.55684099715694e-65
"MXRA8",8.82945750179252,1.82254669679989,0.208675914904388,8.73386225542587,2.4612081471779e-18,3.62644833363069e-18
"AURKAIP1",69.2770445020099,4.24083450371727,0.199362650711525,21.2719608641926,2.06467069669646e-100,8.12014427683434e-100
"MRPL20",34.9193754430436,3.11631259212397,0.183099847565107,17.0197443283827,5.86260593575877e-65,1.53051077374622e-64
"SSU72",36.6543654382075,3.33063807869037,0.172627313051188,19.2938071028352,6.05462464045777e-83,1.95462001274121e-82
"CDK11B",27.4375765505855,3.35878611697659,0.18809879224851,17.8565001764555,2.5727397160214e-71,7.24380381819868e-71
"SLC35E2B",26.9381298414333,3.41290637821862,0.145777115699506,23.4118116677088,3.23971465454682e-121,1.59024624781042e-120
"NADK",3.8875130803001,0.4065231461402,0.170258088678599,2.3876877116106,0.0169547419038912,0.0186331246205869
"GNB1",14.0971171956844,1.84486216678136,0.203077558847129,9.08452010775906,1.04157141132711e-19,1.56407872262922e-19
"AL590822.1",25.0754190364678,3.41231725804662,0.229219637752953,14.8866706687859,4.02309981733905e-50,8.71445146207636e-50
"SKI",44.8962984160664,4.18165422600462,0.189445306227918,22.0731477029774,5.72630275963308e-108,2.45008448530298e-107
"MORN1",26.2760693738894,3.43348673164909,0.23303154748287,14.733999618234,3.89928661526256e-49,8.3516743967765e-49
"PANK4",4.83568242422436,0.812006855876028,0.182787159002538,4.44236269280137,8.89764127280688e-06,1.06748195395775e-05
"HES5",38.6509795909228,3.00431955665913,0.206909064783009,14.5199996907329,9.05106503961712e-48,1.90786370962695e-47
"FAM213B",19.3024825040876,2.8887944952528,0.152406806310436,18.9544979334364,4.05404269663176e-80,1.26241569490658e-79
"TPRG1L",25.870532688141,3.34973579642577,0.207327907865108,16.1567047626081,1.01863113215272e-58,2.43961261044133e-58
"WRAP73",161.361094072998,6.05772329453847,0.172529131224819,35.1113070096248,4.53085678526932e-270,7.01639214105201e-269
"LRRC47",9.91026181036131,1.83616194545114,0.199060648984441,9.22413322180347,2.85863507040382e-20,4.32364588478669e-20
