gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,239.1816249,6.494287548,0.200325924,32.4186078,1.50E-230,3.17E-229
AP006222.2,12.3622838,2.165580616,0.198175973,10.92756391,8.51E-28,1.62E-27
FAM41C,23.21131134,3.079217769,0.238896785,12.88932275,5.17E-38,1.15E-37
NOC2L,10.57369099,1.743501575,0.213778817,8.155632984,3.47E-16,5.37E-16
ISG15,15.18719937,2.233230022,0.240230159,9.296210044,1.46E-20,2.44E-20
AGRN,20.26813712,2.849039294,0.248381144,11.4704331,1.86E-30,3.69E-30
C1orf159,40.66986,3.892003064,0.261085467,14.90700766,2.97E-50,8.22E-50
UBE2J2,10.14509845,1.578654103,0.242318108,6.514800388,7.28E-11,1.02E-10
ACAP3,30.24723079,3.458302651,0.24046868,14.38150967,6.76E-47,1.77E-46
PUSL1,9.604655568,1.661979424,0.243586321,6.822958778,8.92E-12,1.28E-11
MXRA8,75.56155619,4.412602536,0.238171511,18.5269956,1.25E-76,5.27E-76
AURKAIP1,4.519856616,-0.375975837,0.161584269,-2.326809649,0.019975399,0.022350729
CCNL2,37.7801889,3.650301185,0.226021826,16.15021544,1.13E-58,3.59E-58
MRPL20,39.93651577,3.154296022,0.200915292,15.69963135,1.52E-55,4.59E-55
SSU72,2.763429271,-0.667974455,0.167831482,-3.980030719,6.89E-05,8.39E-05
AL645728.1,29.9528594,3.476410219,0.225407037,15.42281139,1.15E-53,3.36E-53
CDK11B,29.38727878,3.349671555,0.170970042,19.59215497,1.80E-85,8.65E-85
CDK11A,4.082167287,0.415379611,0.201792753,2.058446616,0.039547281,0.043541672
NADK,14.96236163,2.390450963,0.249614356,9.576576467,1.00E-21,1.72E-21
GNB1,27.61360587,2.802257599,0.26038737,10.76187988,5.21E-27,9.78E-27
AL590822.1,49.05609669,4.197485523,0.224628546,18.68634063,6.40E-78,2.75E-77
SKI,28.58043711,3.272257355,0.272516334,12.00756414,3.24E-33,6.71E-33
PANK4,41.62638341,3.958260022,0.257790981,15.3545326,3.30E-53,9.58E-53
HES5,20.99820277,2.951415478,0.18248054,16.1738642,7.71E-59,2.45E-58
TPRG1L,28.25430541,3.296543434,0.244194657,13.49965423,1.57E-41,3.72E-41
WRAP73,176.6523423,6.034403669,0.203652381,29.63090158,5.98E-193,9.15E-192
LRRC47,10.68372809,1.856327902,0.235986903,7.866232732,3.65E-15,5.57E-15
CEP104,7.730710759,1.403555109,0.242450414,5.789039863,7.08E-09,9.53E-09
DFFB,9.388998982,1.722081884,0.210639118,8.175508439,2.95E-16,4.56E-16
C1orf174,28.46361444,3.350069915,0.256522953,13.05953279,5.61E-39,1.27E-38
AJAP1,27.73173744,3.342279718,0.22681823,14.73549864,3.81E-49,1.03E-48
NPHP4,7.121810359,1.291700061,0.220403267,5.860621219,4.61E-09,6.22E-09
RPL22,126.1652573,3.475915128,0.17317801,20.07134236,1.31E-89,6.67E-89
ICMT,135.9656661,5.540854798,0.198294149,27.94260354,8.11E-172,1.06E-170
GPR153,2.46407231,-0.43247518,0.171254365,-2.525338138,0.011558701,0.013058209
ACOT7,20.52494455,2.795332769,0.235264947,11.88163731,1.47E-32,3.02E-32
HES2,9.418354665,1.759961339,0.190154785,9.255414426,2.13E-20,3.57E-20
TNFRSF25,52.98039186,4.309501329,0.240671361,17.90616592,1.06E-71,4.13E-71
NOL9,18.01639041,2.671890303,0.241023569,11.08559761,1.47E-28,2.83E-28
ZBTB48,79.39914516,4.875250384,0.235992386,20.65850708,8.19E-95,4.46E-94
KLHL21,6.345552272,1.055907819,0.222058072,4.755097669,1.98E-06,2.51E-06
PHF13,4.155723472,0.450390514,0.20248786,2.224284039,0.02612934,0.029059933
THAP3,4.142251943,0.430364688,0.207806276,2.070989845,0.038359745,0.042259879
DNAJC11,38.41604106,3.773664063,0.245045686,15.39983879,1.64E-53,4.79E-53
CAMTA1,489.7247642,7.111337376,0.167822755,42.37409514,0,0
VAMP3,19.77684189,2.539190602,0.173007336,14.67677996,9.08E-49,2.45E-48
PER3,145.8513295,5.713607643,0.229913104,24.85116138,2.51E-136,2.28E-135
PARK7,40.97517208,2.528894011,0.259853628,9.731994236,2.20E-22,3.82E-22
ERRFI1,36.75657932,3.193632255,0.236142282,13.52418647,1.13E-41,2.67E-41
RERE,15.33283559,2.348075301,0.20025089,11.72566724,9.42E-32,1.91E-31
ENO1,150.1167006,4.140675388,0.176044861,23.52056954,2.51E-122,1.90E-121
GPR157,8.809827604,1.632760413,0.235819954,6.923758499,4.40E-12,6.34E-12
H6PD,21.40288997,2.928196541,0.254434026,11.50866726,1.19E-30,2.38E-30
SLC25A33,29.51235593,3.342525199,0.252468286,13.23938643,5.20E-40,1.19E-39
TMEM201,116.4223207,5.452206472,0.229654284,23.74093078,1.36E-124,1.06E-123
CLSTN1,10.01935128,1.69533174,0.218964075,7.742510899,9.75E-15,1.48E-14
CTNNBIP1,56.05241243,4.287715866,0.220806903,19.41839596,5.39E-84,2.55E-83
LZIC,17.64403614,2.573692737,0.243584581,10.56590989,4.29E-26,7.93E-26
NMNAT1,2.051486746,-0.825462229,0.167031555,-4.941953804,7.73E-07,9.88E-07
UBE4B,108.1232443,5.159244168,0.17706484,29.13759828,1.20E-186,1.76E-185
KIF1B,36.21720501,3.57832287,0.232674981,15.37906165,2.26E-53,6.59E-53
PGD,84.48237692,4.794922777,0.23058641,20.79447256,4.86E-96,2.71E-95
DFFA,180.3214162,5.915384112,0.2117752,27.93237404,1.08E-171,1.40E-170
PEX14,92.37763698,5.064035128,0.211447659,23.94935532,9.38E-127,7.56E-126
CASZ1,13.30063537,2.266129995,0.246547373,9.19145869,3.88E-20,6.46E-20
TARDBP,2.433324084,-0.622923696,0.168980134,-3.686372351,0.000227473,0.000272777
SRM,2.487204202,-1.623770957,0.139172637,-11.66731472,1.87E-31,3.77E-31
EXOSC10,185.7258577,6.044066206,0.211906314,28.52235073,6.19E-179,8.63E-178
MTOR,77.84477735,4.804633516,0.224608901,21.39110913,1.62E-101,9.77E-101
UBIAD1,94.61403758,5.129492729,0.222282669,23.07644025,7.98E-118,5.75E-117
FBXO44,71.8784166,4.731434007,0.231663418,20.42374257,1.03E-92,5.43E-92
FBXO6,116.5328979,5.453839429,0.210073724,25.9615497,1.35E-148,1.39E-147
MAD2L2,38.89362897,3.744553875,0.248747505,15.0536339,3.27E-51,9.19E-51
DRAXIN,75.60010444,4.826037619,0.236924366,20.36952848,3.12E-92,1.64E-91
MTHFR,26.05044966,3.251095309,0.27279834,11.91757733,9.59E-33,1.97E-32
KIAA2013,18.04122229,2.645138323,0.256563692,10.30987006,6.36E-25,1.15E-24
PLOD1,20.28767606,2.755040559,0.240868213,11.43795824,2.70E-30,5.35E-30
MFN2,26.07966174,3.220699704,0.255303249,12.61519278,1.74E-36,3.80E-36
MIIP,103.2795514,5.258357248,0.223400414,23.53781335,1.67E-122,1.27E-121
VPS13D,44.52261907,3.959170434,0.232694774,17.0144364,6.42E-65,2.26E-64
DHRS3,9.421343581,1.699045609,0.209668909,8.103469496,5.34E-16,8.25E-16
PDPN,135.7775853,5.591771263,0.215923,25.89706169,7.19E-148,7.32E-147
PRDM2,133.1492123,5.481957938,0.227399925,24.10712294,2.10E-128,1.73E-127
KAZN,1.717111302,-1.275075652,0.136562832,-9.336915695,9.92E-21,1.67E-20
CASP9,50.5666209,4.229359111,0.224081665,18.87418643,1.86E-79,8.16E-79
DNAJC16,38.3524515,3.805311425,0.266760562,14.26489508,3.62E-46,9.35E-46
AGMAT,6.998813009,1.271914003,0.223973122,5.678868937,1.36E-08,1.81E-08
DDI2,8.064362341,1.46662573,0.224007612,6.547213805,5.86E-11,8.25E-11
PLEKHM2,39.54047535,3.747339852,0.223121982,16.79502761,2.65E-63,9.05E-63
FBLIM1,8.900413478,1.576260709,0.230344639,6.843053601,7.75E-12,1.11E-11
SPEN,13.48463248,2.185563043,0.250508773,8.724497003,2.67E-18,4.29E-18
ZBTB17,12.34976502,2.10984266,0.242734653,8.691971376,3.56E-18,5.71E-18
EPHA2,39.56314354,3.873272413,0.245135795,15.80051745,3.09E-56,9.41E-56
SZRD1,3.024364761,-0.41004873,0.180467981,-2.272141176,0.023077985,0.025745385
NECAP2,111.2056807,5.225300957,0.233243638,22.40275877,3.70E-111,2.48E-110
CROCC,161.9347016,5.887079596,0.219659598,26.80092126,3.15E-158,3.59E-157
SDHB,18.0169461,2.401850033,0.225985296,10.6283465,2.20E-26,4.09E-26
RCC2,2.589401835,-0.481029523,0.177288926,-2.713251951,0.006662643,0.007598867
PAX7,6.002447995,1.05674453,0.212793019,4.966067661,6.83E-07,8.75E-07
UBR4,15.41766548,2.400358201,0.26081289,9.203372583,3.47E-20,5.79E-20
EMC1,107.1661369,5.257430103,0.223610933,23.51150741,3.11E-122,2.36E-121
MRTO4,2.339698885,-0.86124398,0.164192167,-5.245341462,1.56E-07,2.03E-07
AKR7A2,5.325920463,0.460127408,0.219212281,2.099003791,0.035816567,0.03952223
CAPZB,48.6657996,3.364633579,0.225498991,14.92083649,2.41E-50,6.70E-50
OTUD3,12.87315037,2.1748671,0.248983136,8.734997611,2.44E-18,3.91E-18
CAMK2N1,6.071365193,0.951770017,0.208956801,4.554864988,5.24E-06,6.55E-06
PINK1,54.48843972,4.061141719,0.260027752,15.6181088,5.48E-55,1.64E-54
PINK1-AS,150.973615,5.817684014,0.163497726,35.58266007,2.60E-277,7.89E-276
DDOST,35.50831498,3.437315228,0.21059267,16.32210292,6.87E-60,2.22E-59
EIF4G3,2.837930311,-0.7104588,0.162348964,-4.37612154,1.21E-05,1.50E-05
ECE1,10.00568934,1.796521619,0.237504361,7.564162663,3.90E-14,5.85E-14
NBPF3,4.691744247,0.669729488,0.222308408,3.012614298,0.002590079,0.002997442
ALPL,4.202750619,0.46488254,0.212459739,2.188097101,0.02866253,0.031802387
USP48,9.722198181,1.720324007,0.244259704,7.043011908,1.88E-12,2.73E-12
LINC00339,135.3046402,5.648635093,0.233496499,24.19151945,2.73E-129,2.28E-128
CDC42,7.133813774,0.476161413,0.206657683,2.304106996,0.021216638,0.023722472
WNT4,153.2763484,5.85017152,0.217939103,26.84314764,1.01E-158,1.16E-157
ZBTB40,8.12647333,1.508268804,0.23533938,6.408909562,1.47E-10,2.05E-10
EPHB2,221.1294043,6.347660759,0.186109512,34.10712698,5.78E-255,1.47E-253
KDM1A,34.49093305,3.567879322,0.207360791,17.20614254,2.39E-66,8.60E-66
LUZP1,91.58099218,4.958480101,0.189336275,26.18874853,3.57E-151,3.78E-150
HNRNPR,9.921063513,1.45122941,0.229837091,6.314165407,2.72E-10,3.76E-10
ZNF436,6.869391359,1.249208226,0.239231109,5.221763297,1.77E-07,2.30E-07
ASAP3,9.286748229,1.727849331,0.219706451,7.864354126,3.71E-15,5.65E-15
E2F2,6.505301943,1.191352726,0.229388002,5.193613953,2.06E-07,2.68E-07
ID3,11.32847415,1.224100435,0.211555758,5.786183485,7.20E-09,9.69E-09
RPL11,11.10780814,-1.990184506,0.215818938,-9.221547124,2.93E-20,4.89E-20
PITHD1,44.34166326,3.791484026,0.258104809,14.68970704,7.50E-49,2.03E-48
LYPLA2,66.24774454,4.549408452,0.213753975,21.28338642,1.62E-100,9.60E-100
GALE,331.0421431,6.869103837,0.148309226,46.31609254,0,0
HMGCL,451.1127615,7.257638097,0.159193369,45.59007781,0,0
FUCA1,23.85219296,3.130624116,0.252692639,12.38905939,3.00E-35,6.42E-35
CNR2,185.7427266,6.128389531,0.176440072,34.73354698,2.46E-264,6.79E-263
PNRC2,5.587995334,0.743585424,0.227905682,3.262689278,0.001103604,0.001293151
SRSF10,6.711036393,0.893902467,0.226757083,3.942114867,8.08E-05,9.81E-05
STPG1,164.2108192,5.919165019,0.217046064,27.27146908,9.25E-164,1.12E-162
NIPAL3,5.403980331,0.829112092,0.221888995,3.736607539,0.00018652,0.000224162
SRRM1,151.3210032,5.405781275,0.211100616,25.60760537,1.26E-144,1.24E-143
CLIC4,247.2443433,5.876664742,0.179891936,32.6677498,4.49E-234,9.65E-233
SYF2,20.54316046,2.534486098,0.239632752,10.57654299,3.83E-26,7.09E-26
