,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AURKAIP1,0.578751617,-1.637569795,0.286610844,-5.713565373,1.11E-08,2.37E-07
MRPL20,0.468942176,-1.00735966,0.282024791,-3.571883372,0.000354423,0.002572394
SSU72,0.45469119,-1.135241928,0.283948563,-3.998054843,6.39E-05,0.000598945
PARK7,0.992610961,-0.865587495,0.203907228,-4.245006439,2.19E-05,0.000239014
ENO1,2.976014534,-0.806821812,0.160631916,-5.022798918,5.09E-07,8.50E-06
SRM,0.492417129,-1.466029297,0.265046954,-5.531205972,3.18E-08,6.42E-07
MAD2L2,0.393214259,-1.221156606,0.311035451,-3.926101032,8.63E-05,0.000777626
MINOS1,0.457927989,-0.909364626,0.25974668,-3.50096728,0.000463573,0.003242419
ID3,0.558651341,-1.929635184,0.30877308,-6.249363401,4.12E-10,1.21E-08
RPL11,7.490811991,-0.217212819,0.084131504,-2.58182498,0.009827941,0.03791859
SRRM1,1.102602723,-0.729022956,0.2514172,-2.899654269,0.003735745,0.017668158
LIN28A,1.470823976,-0.545354174,0.220146633,-2.477231496,0.013240599,0.048189623
NUDC,0.887378549,-1.02633154,0.24493162,-4.190277846,2.79E-05,0.000291502
ATP5IF1,0.810892969,-1.148629806,0.222137633,-5.170802391,2.33E-07,4.17E-06
EIF3I,0.555536237,-1.099654688,0.279160038,-3.939155104,8.18E-05,0.000741847
PSMB2,0.530283944,-0.957934209,0.272495872,-3.515408154,0.000439079,0.00309705
MRPS15,0.404372621,-1.681590289,0.277875015,-6.05160666,1.43E-09,3.78E-08
SF3A3,0.439140883,-0.882246377,0.343584212,-2.567773332,0.010235406,0.039128941
AKIRIN1,0.442082401,-0.740907324,0.268702699,-2.757349767,0.005827198,0.025157422
NDUFS5,1.575850705,-1.467585271,0.178758271,-8.209887347,2.21E-16,1.42E-14
PABPC4,0.470827424,-1.077463704,0.304887541,-3.533970923,0.000409366,0.002903832
YBX1,4.584914664,-0.606351109,0.116938279,-5.185223461,2.16E-07,3.89E-06
EBNA1BP2,0.263593597,-1.387909255,0.469616959,-2.955407015,0.003122568,0.015331197
PRDX1,3.072516003,-2.26166686,0.168944804,-13.38701638,7.20E-41,2.58E-38
NASP,3.389974295,-1.056559384,0.192747031,-5.481585786,4.22E-08,8.25E-07
UQCRH,2.072141302,-0.859093243,0.139636218,-6.152366898,7.63E-10,2.10E-08
MAGOH,0.318787203,-0.893505301,0.316742931,-2.820916309,0.004788669,0.021520169
L1TD1,2.794677901,-2.980763527,0.240376165,-12.40041219,2.60E-35,5.42E-33
FOXD3-AS1,0.268670388,-2.151843543,0.454342258,-4.736173018,2.18E-06,3.20E-05
AK4,0.200985447,-1.691100501,0.545899041,-3.097826474,0.001949455,0.010370924
SERBP1,2.7172975,-1.044187569,0.157452815,-6.631749147,3.32E-11,1.14E-09
FNBP1L,0.450633181,-0.913507868,0.284818425,-3.207334179,0.001339713,0.007765372
PSMA5,0.589823148,-1.34861368,0.290725226,-4.6387914,3.50E-06,4.96E-05
LAMTOR5,0.322787028,-0.811201206,0.302988927,-2.677329544,0.00742116,0.030223214
ATP5PB,0.504286676,-0.738235405,0.279186323,-2.644239152,0.008187479,0.032717428
TXNIP,0.416917636,1.222200896,0.331707987,3.684568794,0.00022909,0.001775981
MRPS21,0.596623846,-0.722719832,0.262561894,-2.752569387,0.005912961,0.025309497
ENSA,0.397083821,-0.805030928,0.27196765,-2.960024573,0.003076145,0.015185184
PSMD4,0.3804446,-0.976983392,0.300937409,-3.24646708,0.00116847,0.006978712
PSMB4,0.494303465,-0.913178788,0.271116518,-3.368215242,0.000756565,0.004920621
S100A10,0.488903355,-2.631938669,0.336723105,-7.81632929,5.44E-15,2.90E-13
S100A11,0.781256367,-2.848172588,0.296563649,-9.603916715,7.70E-22,7.14E-20
SLC39A1,0.300374228,-1.087057778,0.393758604,-2.760721336,0.005767386,0.024942203
RAB13,0.456634756,-1.72664854,0.314764552,-5.485524117,4.12E-08,8.13E-07
TPM3,1.090978569,-1.806097644,0.225907348,-7.994860092,1.30E-15,7.73E-14
CKS1B,0.97218086,-0.681817887,0.225566111,-3.02269647,0.002505334,0.012855238
FDPS,0.72036866,-0.915216833,0.246094448,-3.718965787,0.00020004,0.001580128
PMF1,0.255590683,-0.983722418,0.35736412,-2.752717365,0.00591029,0.025309497
CCT3,1.341946542,-1.233940176,0.197846524,-6.236855469,4.46E-10,1.29E-08
NES,0.927714303,0.701189832,0.280617072,2.498742599,0.01246348,0.045894933
PFDN2,0.342614509,-0.835277089,0.313699498,-2.662666319,0.007752425,0.031290506
SDHC,0.422858022,-0.857141829,0.292809532,-2.927301665,0.003419171,0.016464622
PRDX6,1.298465245,-1.326086832,0.219286296,-6.047285457,1.47E-09,3.84E-08
CACYBP,0.603676305,-1.193889396,0.255472542,-4.673259159,2.96E-06,4.24E-05
ACBD6,0.36196038,-0.9991836,0.380368551,-2.626882786,0.008617101,0.034033472
DHX9,0.792549953,-1.006315468,0.301323775,-3.339648413,0.000838845,0.005358337
ARPC5,0.315305214,-0.928176912,0.331592878,-2.799146102,0.005123795,0.022748195
TPR,0.882978958,0.727322526,0.275838619,2.636768299,0.008369998,0.033373368
UBE2T,0.278833231,-0.897135459,0.363902777,-2.46531633,0.013689234,0.049462975
TMEM183A,0.274100508,-1.077397446,0.343182849,-3.139426837,0.001692787,0.009377739
SNRPE,1.310776215,-1.03129268,0.197956135,-5.209703052,1.89E-07,3.43E-06
CENPF,2.409399554,1.518299323,0.355371817,4.272424688,1.93E-05,0.000216148
PARP1,1.267728323,-0.711236219,0.229653327,-3.096999419,0.001954903,0.010370924
COA6,0.201198339,-1.410276893,0.515672472,-2.734830671,0.006241237,0.026309862
TOMM20,0.634706284,-0.642678092,0.230138248,-2.792574021,0.00522905,0.023011497
ACP1,0.490259858,-0.745481734,0.256342623,-2.908145844,0.003635787,0.017308007
RPS7,6.630784234,-0.281191997,0.0911231,-3.085847565,0.002029728,0.010699874
SOX11,1.863630519,2.950424388,0.265077701,11.13041339,8.92E-29,1.18E-26
ID2,0.312041053,1.071750569,0.309133704,3.466948299,0.000526403,0.00361127
YWHAQ,1.042684871,-0.65526607,0.202748768,-3.231911474,0.001229651,0.007279071
ODC1,0.840319637,1.116309828,0.235721727,4.735710376,2.18E-06,3.20E-05
VSNL1,0.227519196,-1.646497504,0.58017006,-2.837956692,0.004540334,0.020746345
SF3B6,0.665722209,-1.205067288,0.250650212,-4.807764887,1.53E-06,2.32E-05
OST4,0.452383082,-0.735110538,0.259635749,-2.831314798,0.004635707,0.021112933
PPM1G,0.771837145,-0.635352733,0.227243465,-2.795912012,0.005175349,0.022882254
WDR43,0.264907821,-0.985884649,0.382797484,-2.575473165,0.010010304,0.038444481
DPY30,0.461027327,-0.97173197,0.260207143,-3.734455393,0.000188122,0.001500182
CEBPZ,0.616894437,-0.93174373,0.314716151,-2.960584414,0.00307056,0.015185184
SRSF7,1.643144881,-1.077689518,0.252010699,-4.276364143,1.90E-05,0.000214273
SIX3,0.746270776,2.117857573,0.282470875,7.49761394,6.50E-14,2.81E-12
EPCAM,0.448688746,-2.231160036,0.463837542,-4.810218741,1.51E-06,2.30E-05
MSH2,0.466838229,-1.005156429,0.303464296,-3.312272454,0.000925414,0.005778643
RTN4,0.790866429,-0.894343514,0.284203909,-3.146837482,0.001650467,0.009245567
RPS27A,7.794984217,-0.710290615,0.092726248,-7.660081463,1.86E-14,9.12E-13
CCDC88A,0.656945452,0.946842546,0.370617869,2.554767658,0.01062587,0.040252917
MDH1,0.537090847,-0.717081941,0.280097142,-2.560118736,0.010463641,0.039758659
UGP2,0.770958038,-1.788205157,0.302287172,-5.915583998,3.31E-09,7.96E-08
PNO1,0.236024453,-1.175842921,0.460654008,-2.552551154,0.010693721,0.040448756
SNRPG,0.945812655,-1.207561721,0.196602722,-6.142141414,8.14E-10,2.22E-08
FAM136A,0.41954342,-0.798484627,0.29966525,-2.66458866,0.007708254,0.031232151
CCT7,0.629150667,-0.834945803,0.249511745,-3.346318637,0.000818922,0.005257901
TMSB10,2.808137501,-0.432146375,0.135037281,-3.200200511,0.00137332,0.007905273
COX5B,0.844873571,-0.876140307,0.207468488,-4.223004251,2.41E-05,0.000260186
EIF5B,0.634028251,-0.815054283,0.285129928,-2.858536417,0.004256003,0.019554184
DDX18,0.950972429,-1.377821837,0.283146634,-4.866107074,1.14E-06,1.78E-05
DBI,0.80448409,-0.882692939,0.211041625,-4.18255374,2.88E-05,0.000298258
NIFK,0.434307889,-1.047009626,0.311973945,-3.356080347,0.000790556,0.005088823
TSN,0.289219938,-1.198545725,0.38917542,-3.079705609,0.002072053,0.010877192
PSMD14,0.497999083,-1.707132682,0.311104388,-5.487330764,4.08E-08,8.11E-07
SSB,1.640256579,-1.273566391,0.220448672,-5.777156109,7.60E-09,1.68E-07
METTL5,0.308265321,-1.051928184,0.337623766,-3.11568168,0.001835203,0.009946639
ATP5MC3,0.982997612,-1.267509208,0.18930163,-6.695712063,2.15E-11,7.57E-10
HNRNPA3,2.729418976,-0.5301321,0.206118159,-2.571981541,0.010111828,0.038774913
HSPD1,3.771572308,-2.00473348,0.163557759,-12.25703687,1.54E-34,2.75E-32
HSPE1,2.384344925,-2.341334847,0.173680944,-13.48066627,2.03E-41,8.48E-39
SPATS2L,0.519190889,-2.210007936,0.348342721,-6.344349402,2.23E-10,7.17E-09
BZW1,0.722691532,-0.88707825,0.263736755,-3.363498765,0.000769612,0.004979607
SUMO1,0.860755399,-0.802679265,0.224595229,-3.573892768,0.000351713,0.002560144
FZD5,0.790195257,2.172015841,0.297391408,7.303559495,2.80E-13,1.15E-11
IDH1,0.523474882,-1.170924609,0.291189401,-4.021178665,5.79E-05,0.000547173
ATIC,0.362867909,-1.010925833,0.336915589,-3.000531486,0.002695089,0.013633339
XRCC5,1.83556646,-0.812769215,0.186926435,-4.348069947,1.37E-05,0.000161456
IGFBP5,1.214316244,2.906182369,0.376900796,7.710735552,1.25E-14,6.26E-13
ARPC2,0.653329865,-0.725754111,0.252164396,-2.878099065,0.004000795,0.018717237
ITM2C,0.525137387,-1.53119212,0.304724167,-5.024846354,5.04E-07,8.49E-06
NCL,4.165884894,-1.618957682,0.172760831,-9.371092252,7.18E-21,6.42E-19
PTMA,13.52927728,-1.333480082,0.121902028,-10.93894913,7.51E-28,9.40E-26
EIF4E2,0.374644971,-1.386845596,0.34697602,-3.996949402,6.42E-05,0.000599503
LRRFIP1,0.222828793,-1.300167775,0.4932469,-2.63593704,0.00839053,0.033402046
COPS9,0.346773366,-0.856005559,0.297530849,-2.877031279,0.004014358,0.01871872
2-Sep,0.756371942,-0.80639313,0.25654787,-3.143246249,0.001670852,0.009297364
ARPC4,0.293641789,-0.828245736,0.335433533,-2.469179893,0.013542312,0.049113196
LSM3,0.843060474,-1.488634007,0.247091234,-6.024633028,1.69E-09,4.38E-08
RPL14,4.412361389,-0.57591626,0.106017793,-5.432260409,5.56E-08,1.07E-06
EXOSC7,0.286178523,-1.131422002,0.356515939,-3.173552363,0.001505857,0.008557724
TDGF1,0.681567671,-3.019698863,0.305971499,-9.869216164,5.66E-23,5.91E-21
MAP4,0.334175189,-1.112994946,0.379441207,-2.933247433,0.003354364,0.016309376
TMA7,1.303704165,-0.841468732,0.199110275,-4.226144184,2.38E-05,0.000258815
IMPDH2,0.567445212,-0.735650018,0.26082537,-2.820469566,0.004795342,0.021520169
TKT,1.247729354,-1.729531608,0.220073237,-7.858891114,3.88E-15,2.11E-13
THOC7,0.273800032,-0.992204622,0.335691295,-2.955705541,0.003119548,0.015331197
RPL24,5.190482525,-0.313606558,0.091351618,-3.432961184,0.000597028,0.004018702
DPPA4,1.029578957,-1.623427808,0.256640227,-6.325695036,2.52E-10,7.96E-09
COX17,0.325755189,-1.104880378,0.35145213,-3.143757808,0.001667934,0.009297364
NDUFB4,0.624908024,-0.628305023,0.226374926,-2.775506249,0.005511584,0.024078489
RUVBL1,0.357809772,-0.780856879,0.276538634,-2.823680968,0.004747562,0.021458293
H1FX,1.065726301,1.599804278,0.231168467,6.920512545,4.50E-12,1.68E-10
MRPL3,0.568655858,-1.237854172,0.281916001,-4.390861698,1.13E-05,0.000137906
COPB2,0.250125035,-1.241573251,0.42843781,-2.897907753,0.003756611,0.017681491
RNF7,0.39219163,-0.71991467,0.255248123,-2.820450396,0.004795629,0.021520169
ATP1B3,0.411720678,-1.18615454,0.36397485,-3.258891486,0.001118484,0.006764939
SERP1,0.434931463,-0.989300379,0.267353768,-3.700342013,0.000215309,0.001679545
GMPS,0.396682026,-0.989545845,0.29904333,-3.309038348,0.00093617,0.005831269
SSR3,0.411004106,-0.954391149,0.286559431,-3.330517318,0.000866848,0.005509103
SKIL,0.289356441,-1.261677376,0.474517817,-2.658861968,0.007840508,0.031513052
RPL22L1,0.812159233,-1.928646886,0.258527105,-7.460134143,8.64E-14,3.67E-12
MRPL47,0.386750693,-0.967013911,0.316387412,-3.056423471,0.002239947,0.011636569
DNAJC19,0.448578777,-0.885105877,0.301326491,-2.937364965,0.003310143,0.016125677
SOX2,1.373838131,1.933822843,0.231256219,8.362252263,6.15E-17,4.05E-15
AP2M1,0.551795374,-1.128880951,0.247218077,-4.566336582,4.96E-06,6.87E-05
PSMD2,0.591728031,-0.808359225,0.265060764,-3.049712878,0.002290602,0.011850554
EIF4G1,0.418716946,-0.935873583,0.326122897,-2.869696026,0.004108666,0.019087382
POLR2H,0.399958015,-1.171945411,0.288645544,-4.060154171,4.90E-05,0.000477809
RPL39L,0.300129212,-1.101709176,0.325537192,-3.384280511,0.000713651,0.004699258
RPL35A,5.367725017,-0.340049542,0.090447856,-3.759619712,0.000170172,0.001383475
ATP5ME,0.582105492,-0.996980121,0.24993696,-3.988926337,6.64E-05,0.000614459
MRFAP1,0.55697635,-0.897046492,0.250120845,-3.586452349,0.000335207,0.002454266
WDR1,0.370540323,-1.273869676,0.34025574,-3.743859478,0.000181215,0.001454367
UBE2K,0.414074847,-0.80178376,0.323951068,-2.475015021,0.013323057,0.048419355
UCHL1,1.367988989,-1.588970948,0.197581245,-8.042114273,8.83E-16,5.39E-14
PAICS,1.070371246,-1.156399616,0.240352796,-4.811259253,1.50E-06,2.30E-05
G3BP2,0.748752804,-0.960261613,0.285602606,-3.362229867,0.000773157,0.004989655
USO1,0.292594103,-1.040661813,0.365157744,-2.849896597,0.004373344,0.020019844
CCNI,1.470874275,0.829048473,0.177340995,4.674883388,2.94E-06,4.23E-05
MAPK10,0.441792336,1.347296899,0.417417306,3.227697753,0.001247908,0.007352377
EIF4E,0.420752526,-1.092428427,0.338755361,-3.224829931,0.001260475,0.007391639
