"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"HES5",1.6832298136646,0.540088367735134,0.182394495287487,2.9611001520844,0.00306542239684491,0.0318691779671986
"RPL22",6.34782608695652,-0.693140326194529,0.191831996604491,-3.61326753859321,0.00030236243623342,0.00495699955555751
"ENO1",4.13664596273292,-0.762225260974246,0.20185293431373,-3.77614159321339,0.000159276470574971,0.00315774863174797
"RPL11",12.5590062111801,-0.785125595512741,0.218445293651429,-3.59415202950336,0.000325449773833531,0.00528468442272542
"LIN28A",2.27329192546584,-0.582906683975392,0.176087151675338,-3.31033058590288,0.000931858426749252,0.0117690267970924
"MACF1",1.70186335403727,-0.579286364500439,0.199894410617548,-2.89796179248238,0.00375596343083001,0.0381865521898005
"RPS8",13.8136645962733,-0.812341131757646,0.209579141507162,-3.87605906730888,0.000106161923148081,0.00236593299772283
"L1TD1",1.59006211180124,-0.879299665323084,0.217011349035172,-4.05186027934683,5.08120073378024e-05,0.00144390787518255
"SRSF11",1.98757763975155,-0.525117393577518,0.184072844763958,-2.85276947966384,0.00433400482413147,0.0424638974296271
"RPL5",12.1180124223602,-0.751517299874517,0.224221025007081,-3.35168077949329,0.00080322577566758,0.0108690472024859
"PHGDH",2.17391304347826,-0.745471810583148,0.19099008262772,-3.90319643997553,9.49305926689196e-05,0.00231597864366118
"TXNIP",1.80745341614907,-0.749840193536571,0.199887619166217,-3.75130884376106,0.000175913846726525,0.00329596822712884
"PRRC2C",2.4223602484472,-0.786190275429583,0.177879441645544,-4.41979279986837,9.87955802395272e-06,0.000410845034898522
"GLUL",1.7639751552795,-0.623992637635186,0.197388027012442,-3.16124866882555,0.0015709432315322,0.0186004042344611
"TPR",2.08074534161491,-0.572730985041585,0.182277995579739,-3.14207418849436,0.00167755523741268,0.0197257357226801
"NUCKS1",4.97515527950311,-0.636443154076472,0.16432719806739,-3.87302383026984,0.000107493312615317,0.00236593299772283
"CENPF",3.52173913043478,-0.849552298591249,0.223453826123958,-3.80191430743268,0.000143582391820279,0.00294949371148886
"ENAH",2.22360248447205,-0.579138407823498,0.179326864294222,-3.22951282342898,0.00124001320264049,0.0152102338885038
"HNRNPU",3.80124223602484,-0.657547149258077,0.16281742607436,-4.03855511729911,5.37814570990866e-05,0.00147899007022488
"RPS7",10.9565217391304,-0.804830451936852,0.225140970809728,-3.57478449631913,0.00035051648832903,0.0055853328280467
"SOX11",4.2111801242236,-0.962471900989694,0.163616957418778,-5.88247035132334,4.04187758716134e-09,4.59426752407339e-07
"ID2",1.75155279503106,-0.853584080138881,0.205983188697215,-4.14395022010077,3.41373877872159e-05,0.00103936153887863
"SIX3",2.57142857142857,-0.655961548766933,0.173259808918292,-3.78599949325974,0.000153091985759151,0.00310740280618277
"RPS27A",11.1801242236025,-0.799511515531887,0.233582692918769,-3.42282001094116,0.000619750997278474,0.00873285496165122
"MTHFD2",1.61490683229814,-0.640384801676784,0.206742315118682,-3.09750232461684,0.00195158865678329,0.0221830577321034
"TMSB10",7,0.682461269506003,0.209446911368464,3.25839739076123,0.00112043386903598,0.0139440857423821
"RPL31",4.16149068322981,-0.682733233257496,0.187831452953387,-3.63481846369428,0.00027817644418496,0.00479081653874098
"EEF1B2",5.72049689440994,-0.643755088335179,0.205463922447341,-3.13317822743391,0.00172924404862804,0.0199419098890281
"FZD5",2.48447204968944,-0.680494084711916,0.175725374450993,-3.8724861838419,0.000107730784579171,0.00236593299772283
"IGFBP5",2.66459627329193,-1.792066765559,0.229393912777199,-7.81218099409445,5.62067670591181e-15,3.19441792785988e-12
"RPL32",12.5403726708075,-0.766942182261723,0.215302994430353,-3.56215288268932,0.000367826070494142,0.00580688379807882
"RPL15",15.8819875776398,-1.11019836085724,0.224772802008797,-4.93920238985938,7.84427641017641e-07,6.07931421788672e-05
"RPSA",12.1055900621118,-0.862016230888708,0.216256587377079,-3.98608080033023,6.71736447137401e-05,0.00181795340058614
